proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
D:\GCModeller\src\R-sharp\Library\igraph\igraph.NET5.vbproj,igraph\Models\V.vb,215,23,34,158,1,1,2,15,0,7830,7.83 KB
D:\GCModeller\src\R-sharp\Library\igraph\igraph.NET5.vbproj,igraph\Utils\Attributes\EdgeAttributes.vb,73,0,12,61,1,0,1,2,0,2689,2.69 KB
D:\GCModeller\src\R-sharp\Library\igraph\igraph.NET5.vbproj,igraph\Utils\Attributes\NodeAttributes.vb,99,0,12,87,1,0,0,3,0,3836,3.84 KB
D:\GCModeller\src\R-sharp\Library\igraph\igraph.NET5.vbproj,<project>,2813,415,354,2044,12,3,10,95,0,111825,111.83 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\lpSolve.vb,208,11,25,172,1,0,0,8,0,8983,8.98 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\math.vb,783,201,95,487,1,0,1,20,0,31670,31.67 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\RMatrix.vb,199,116,15,68,1,0,0,2,0,7891,7.89 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\stats.vb,1274,423,135,716,4,2,1,38,0,52273,52.27 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\symbolic.vb,70,14,7,49,1,0,0,4,0,2905,2.90 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\zzz.vb,34,0,5,29,1,0,1,1,0,1177,1.18 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\models\corMat.vb,15,3,5,7,1,2,1,0,0,278,278 B
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\models\corTestResult.vb,0,0,0,0,0,0,0,0,0,0,0 B
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\models\lmCall.vb,132,0,24,108,1,8,1,3,0,4369,4.37 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\models\source.vb,8,0,2,6,1,0,0,1,0,200,200 B
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,Rlapack\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2799,2.80 KB
D:\GCModeller\src\R-sharp\Library\Rlapack\Rlapack.NET5.vbproj,<project>,2786,791,321,1674,13,14,5,77,0,112545,112.55 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\ApiArgumentHelpers.vb,239,44,24,171,1,0,0,5,0,9610,9.61 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\ExportsClr.vb,15,3,4,8,1,0,0,1,0,358,358 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Extensions.vb,271,42,31,198,1,0,1,9,0,9866,9.87 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\GlobalSuppressions.vb,14,4,2,8,0,0,0,0,0,2154,2.15 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\LegacyRHelper.vb,44,2,7,35,1,0,0,1,0,1845,1.84 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\LICENSE.vb,41,23,4,14,1,1,1,0,0,1420,1.42 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\DebugLevels.vb,24,15,1,8,1,0,0,0,0,697,697 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecutableLoop.vb,228,52,33,143,1,0,4,3,0,9205,9.21 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\Program.vb,132,11,22,99,1,1,1,8,0,5157,5.16 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\RInterpreter.vb,681,174,100,407,1,10,12,20,0,27718,27.72 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExecuteBreaks.vb,20,12,1,7,1,0,0,0,0,536,536 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\Expression.vb,76,30,8,38,1,1,0,2,0,3020,3.02 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\SymbolExpression.vb,44,18,6,20,1,0,1,0,0,1538,1.54 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\CodeComment.vb,95,6,16,73,2,5,2,3,0,3189,3.19 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Suppress.vb,36,0,7,29,1,3,1,1,0,1244,1.24 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Annotation\BreakPoint.vb,29,3,6,20,1,2,0,2,0,862,862 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Annotation\HomeSymbol.vb,31,3,6,22,1,2,0,2,0,898,898 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Annotation\HostSymbol.vb,29,5,5,19,1,2,0,1,0,865,865 B
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Annotation\Profiler.vb,70,14,10,46,1,4,1,2,0,2425,2.42 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Annotation\ScriptFolder.vb,38,3,7,28,1,2,0,2,0,1135,1.14 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\Annotation\ScriptSymbol.vb,46,3,9,34,1,2,0,3,0,1498,1.50 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\CLI\ArgumentValue.vb,86,15,17,54,3,3,3,2,0,2843,2.84 KB
