"compoundA","compoundB","correlation","pValue"
"D-Phenyllactic acid","Fumaric acid",0.89576797934444,8.11479835602924e-05
"Riboflavin","Fumaric acid",-0.581376438860178,0.047402199306962
"Niacinamide","Fumaric acid",0.866264516727993,0.000268004749579998
"Palmitic acid","Fumaric acid",0.647418248306196,0.0228446783767557
"D-Mannose","Fumaric acid",0.790382852246614,0.00221467431886113
"3-Methylindole","Fumaric acid",0.710914088261274,0.00954646240886348
"Phenylethylamine","Fumaric acid",0.821648200468169,0.00104466963314565
"Mesaconate","Fumaric acid",-0.730178355491309,0.00700917267355194
"D-Xylose","Fumaric acid",-0.802061224638084,0.00169818882143158
"Guanosine","Fumaric acid",0.805479918154722,0.00156612311342119
"gamma-Aminobutyric acid","Fumaric acid",-0.735749347744199,0.00638034841238655
"Cellobiose","Fumaric acid",-0.704265152142628,0.0105636995276974
"L-Methionine","Acetoacetic acid",-0.723605932255329,0.00780955887599299
"Citric acid","Acetoacetic acid",0.898162646189843,7.25456215968645e-05
"Uracil","Acetoacetic acid",-0.791861744486441,0.00214337029393019
"L-2-Hydroxyglutaric acid","Acetoacetic acid",-0.913226708671286,3.34436767479573e-05
"Pyridoxal","Acetoacetic acid",0.870925382347985,0.00022628906926303
"3-Dehydroshikimate","Acetoacetic acid",-0.807068545767643,0.00150750692210333
"6-Phosphogluconic acid","Acetoacetic acid",0.74721082018958,0.00522088181479674
"Guanidoacetic acid","Acetoacetic acid",0.889732661628733,0.000106402764719515
"L-Phenylalanine","Acetoacetic acid",-0.721629201087367,0.00806314534354868
"Alpha-D-Glucose","Acetoacetic acid",0.88608992172807,0.000124387180738816
"Butyric acid","Acetoacetic acid",0.730358975831529,0.00698808410631901
"Guanine","Acetoacetic acid",-0.769480110937193,0.003429431463712
"D-Cathine","Acetoacetic acid",-0.671123965634448,0.0168773717373509
"(S)-Methylmalonic acid semialdehyde","Acetoacetic acid",0.656477722199366,0.0204077844319701
"trans-Cinnamate","Acetoacetic acid",-0.720795311606968,0.00817194879231264
"Dihydrouracil","Acetoacetic acid",0.584459851521847,0.0459605633578672
"D-Phenyllactic acid","Acetoacetic acid",-0.714277274775429,0.00906065812689749
"Riboflavin","Acetoacetic acid",0.597781038507831,0.0400866834630706
"Niacinamide","Acetoacetic acid",-0.614412506662998,0.0335277482395613
"D-Mannose","Acetoacetic acid",-0.845372854246314,0.000533757959312542
"3-Methylindole","Acetoacetic acid",-0.861888836517253,0.00031240236318153
"p-Hydroxyphenylacetic acid","Acetoacetic acid",-0.678672304848859,0.0152441531784158
"Phenylethylamine","Acetoacetic acid",-0.871966508201021,0.00021770550262934
"Mesaconate","Acetoacetic acid",0.815134379019937,0.00123540893459317
"D-Xylose","Acetoacetic acid",0.889059178246952,0.000109563664850487
"gamma-Aminobutyric acid","Acetoacetic acid",0.79808896537777,0.00186218345745393
"L-Leucine","Acetoacetic acid",-0.586396911027938,0.0450708910183308
"Cellobiose","Acetoacetic acid",0.818616173883083,0.00113039417379035
"Citric acid","L-Methionine",-0.594966162251473,0.0412807276866856
"Uracil","L-Methionine",0.906944448054633,4.69231722695085e-05
"L-2-Hydroxyglutaric acid","L-Methionine",0.725789133688286,0.00753647581377193
"Pyridoxal","L-Methionine",-0.706651444096302,0.0101897750804261
"6-Phosphogluconic acid","L-Methionine",-0.59523951024363,0.0411636834056859
"Guanidoacetic acid","L-Methionine",-0.642369892367883,0.0242909659532973
"L-Phenylalanine","L-Methionine",0.963817402824844,4.59597294222291e-07
